YEAR,STATE,DEATHS
2010,AK,13
2010,AL,18
2010,AR,5
2010,AZ,1
2010,CA,23
2010,CO,8
2010,DC,1
2010,DE,2
2010,FL,30
2010,GA,19
2010,HI,6
2010,IA,9
2010,ID,2
2010,IL,16
2010,IN,9
2010,KS,4
2010,KY,3
2010,LA,14
2010,MA,8
2010,MD,8
2010,ME,1
2010,MI,15
2010,MN,1
2010,MO,10
2010,MS,2
2010,NC,6
2010,ND,1
2010,NH,1
2010,NJ,5
2010,NM,1
2010,NV,7
2010,NY,14
2010,OH,16
2010,OK,4
2010,OR,1
2010,PA,27
2010,SC,9
2010,TN,10
2010,TX,32
2010,VA,13
2010,WA,17
2010,WI,1
2010,WV,1
2010,WY,2
2010,NA,8
2011,AK,8
2011,AL,17
2011,AR,2
2011,AZ,6
2011,CA,35
2011,CO,3
2011,CT,4
2011,DC,2
2011,DE,1
2011,FL,31
2011,GA,20
2011,HI,5
2011,IA,7
2011,ID,5
2011,IL,19
2011,IN,10
2011,KS,8
2011,LA,12
2011,MA,8
2011,MD,8
2011,ME,3
2011,MI,19
2011,MN,1
2011,MO,9
2011,MS,5
2011,MT,1
2011,NC,9
2011,ND,1
2011,NH,5
2011,NJ,8
2011,NM,2
2011,NV,14
2011,NY,17
2011,OH,25
2011,OK,14
2011,OR,14
2011,PA,8
2011,RI,1
2011,SC,8
2011,TN,3
2011,TX,25
2011,VA,6
2011,WA,23
2011,WI,5
2011,NA,6
2012,AK,4
2012,AL,4
2012,AR,7
2012,AZ,5
2012,CA,14
2012,CO,2
2012,CT,4
2012,DC,3
2012,DE,1
2012,FL,36
2012,GA,20
2012,HI,4
2012,IA,11
2012,ID,2
2012,IL,13
2012,IN,8
2012,KS,4
2012,KY,4
2012,LA,4
2012,MA,17
2012,MD,11
2012,ME,1
2012,MI,13
2012,MN,3
2012,MO,7
2012,MS,1
2012,MT,1
2012,NC,7
2012,NE,2
2012,NH,1
2012,NJ,6
2012,NM,2
2012,NV,20
2012,NY,26
2012,OH,14
2012,OK,6
2012,OR,1
2012,PA,6
2012,RI,1
2012,SC,6
2012,TX,32
2012,VA,14
2012,VT,1
2012,WA,20
2012,WI,3
2012,NA,4
2013,AK,5
2013,AL,7
2013,AR,3
2013,AZ,5
2013,CA,16
2013,CT,4
2013,DE,1
2013,FL,11
2013,GA,13
2013,HI,1
2013,IA,3
2013,ID,2
2013,IL,17
2013,IN,7
2013,KS,8
2013,KY,2
2013,LA,4
2013,MA,7
2013,MD,19
2013,ME,1
2013,MI,16
2013,MN,2
2013,MO,6
2013,NC,11
2013,NE,4
2013,NJ,4
2013,NM,1
2013,NV,17
2013,NY,37
2013,OH,13
2013,OK,4
2013,OR,4
2013,PA,17
2013,SC,7
2013,TN,15
2013,TX,13
2013,UT,2
2013,VA,15
2013,VT,1
2013,WA,7
2013,WI,6
2013,NA,1
2014,AK,2
2014,AL,6
2014,AR,6
2014,AZ,3
2014,CA,11
2014,CO,6
2014,CT,10
2014,DE,1
2014,FL,27
2014,GA,10
2014,HI,1
2014,IA,6
2014,ID,1
2014,IL,21
2014,IN,2
2014,KS,5
2014,KY,8
2014,LA,7
2014,MA,16
2014,MD,6
2014,ME,1
2014,MI,12
2014,MN,2
2014,MO,5
2014,MS,2
2014,NC,19
2014,ND,1
2014,NE,1
2014,NH,4
2014,NJ,3
2014,NV,10
2014,NY,27
2014,OH,21
2014,OK,2
2014,OR,2
2014,PA,34
2014,RI,1
2014,SC,11
2014,SD,2
2014,TN,9
2014,TX,27
2014,VA,17
2014,WA,3
2014,WI,5
2014,WY,1
2015,AK,9
2015,AL,9
2015,AR,7
2015,AZ,4
2015,CA,7
2015,CO,4
2015,CT,3
2015,DE,1
2015,FL,9
2015,GA,18
2015,IA,3
2015,ID,1
2015,IL,28
2015,IN,7
2015,KS,4
2015,KY,5
2015,LA,5
2015,MA,16
2015,MD,8
2015,ME,3
2015,MI,14
2015,MN,5
2015,MO,7
2015,MS,4
2015,MT,1
2015,NC,12
2015,NE,1
2015,NH,4
2015,NJ,15
2015,NM,2
2015,NV,5
2015,NY,26
2015,OH,20
2015,OK,3
2015,OR,2
2015,PA,17
2015,RI,1
2015,SC,10
2015,SD,3
2015,TN,5
2015,TX,35
2015,UT,1
2015,VA,13
2015,VT,1
2015,WA,3
2015,WI,6
2015,NA,4
